BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN00839394	SRX131183	OH43_library	2012-08-11	2862	1995	Zea mays	SRR447846	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131184	OH43_library	2012-08-11	2211	1496	Zea mays	SRR447847	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839333	SRX131185	BKN017_library	2012-08-11	5519	2765	Zea mays	SRR447848	SRS302395	BKN017	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839333	SRX131186	BKN017_library	2012-08-11	5105	2651	Zea mays	SRR447849	SRS302395	BKN017	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839415	SRX131187	TIL16_library	2012-08-11	2703	1602	Zea mays subsp. parviglumis	SRR447850	SRS302477	TIL16	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839415	SRX131188	TIL16_library	2012-08-11	1813	1238	Zea mays subsp. parviglumis	SRR447851	SRS302477	TIL16	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839415	SRX131189	TIL16_library	2012-08-11	1321	781	Zea mays subsp. parviglumis	SRR447852	SRS302477	TIL16	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839387	SRX131190	M162W_library	2012-08-11	2355	1040	Zea mays	SRR447853	SRS302449	M162W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839387	SRX131191	M162W_library	2012-08-11	1337	914	Zea mays	SRR447854	SRS302449	M162W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839387	SRX131192	M162W_library	2012-08-11	2643	1815	Zea mays	SRR447855	SRS302449	M162W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839344	SRX131193	BKN031_library	2012-08-11	5444	2712	Zea mays	SRR447856	SRS302406	BKN031	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839344	SRX131194	BKN031_library	2012-08-11	5257	2542	Zea mays	SRR447857	SRS302406	BKN031	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839368	SRX131195	CML341_library	2012-08-11	6675	4295	Zea mays	SRR447858	SRS302430	CML341	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839414	SRX131196	TIL15_library	2012-08-11	5915	3815	Zea mays subsp. parviglumis	SRR447859	SRS302476	TIL15	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839414	SRX131197	TIL15_library	2012-08-11	5841	3764	Zea mays subsp. parviglumis	SRR447860	SRS302476	TIL15	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839380	SRX131198	CML99_library	2012-08-11	6675	4099	Zea mays	SRR447861	SRS302442	CML99	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839340	SRX131199	BKN026_library	2012-08-11	5646	2900	Zea mays	SRR447862	SRS302402	BKN026	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839340	SRX131200	BKN026_library	2012-08-11	5185	2502	Zea mays	SRR447863	SRS302402	BKN026	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131201	CAU5003_library	2015-06-28	839	397	Zea mays	SRR447864	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131202	CAU5003_library	2015-06-28	839	744	Zea mays	SRR447865	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131203	CAU5003_library	2012-08-11	572	429	Zea mays	SRR447866	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131204	CAU5003_library	2015-06-28	839	562	Zea mays	SRR447867	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131205	CAU5003_library	2015-06-28	1278	979	Zea mays	SRR447868	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131206	CAU5003_library	2015-06-28	1149	917	Zea mays	SRR447869	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131207	CAU5003_library	2015-06-28	839	743	Zea mays	SRR447870	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131208	CAU5003_library	2015-06-28	839	750	Zea mays	SRR447871	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131209	CAU5003_library	2015-06-28	944	588	Zea mays	SRR447872	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131210	CAU5003_library	2015-06-28	893	691	Zea mays	SRR447873	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131211	CAU5003_library	2015-06-28	839	758	Zea mays	SRR447874	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131212	CAU5003_library	2015-06-28	1258	1045	Zea mays	SRR447875	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839352	SRX131213	CAU5003_library	2015-06-28	1258	1005	Zea mays	SRR447876	SRS302414	CAU5003	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839385	SRX131214	KI3_library	2012-08-11	4555	2270	Zea mays	SRR447877	SRS302447	KI3	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839385	SRX131215	KI3_library	2012-08-11	4818	2454	Zea mays	SRR447878	SRS302447	KI3	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839356	SRX131216	CML103_library	2012-08-11	2690	1892	Zea mays	SRR447879	SRS302418	CML103	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839356	SRX131217	CML103_library	2012-08-11	3241	2271	Zea mays	SRR447880	SRS302418	CML103	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839423	SRX131218	VL05610_library	2012-08-11	6675	3903	Zea mays	SRR447881	SRS302485	VL05610	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839399	SRX131219	TIL01_library	2012-08-11	2696	1857	Zea mays subsp. parviglumis	SRR447882	SRS302461	TIL01	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839399	SRX131220	TIL01_library	2012-08-11	5038	3350	Zea mays subsp. parviglumis	SRR447883	SRS302461	TIL01	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839332	SRX131221	BKN016_library	2012-08-11	5232	2596	Zea mays	SRR447884	SRS302394	BKN016	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839332	SRX131222	BKN016_library	2012-08-11	5372	2781	Zea mays	SRR447885	SRS302394	BKN016	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839400	SRX131223	TIL02_library	2012-08-11	2658	1816	Zea mays subsp. parviglumis	SRR447886	SRS302462	TIL02	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839358	SRX131224	CML192_library	2012-08-11	6675	4280	Zea mays	SRR447887	SRS302420	CML192	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839391	SRX131225	MS71_library	2012-08-11	3876	2242	Zea mays	SRR447888	SRS302453	MS71	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839391	SRX131226	MS71_library	2012-08-11	1858	1284	Zea mays	SRR447889	SRS302453	MS71	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839391	SRX131227	MS71_library	2012-08-11	2629	1786	Zea mays	SRR447890	SRS302453	MS71	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839384	SRX131228	KI11_library	2012-08-11	2414	1412	Zea mays	SRR447891	SRS302446	KI11	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839384	SRX131229	KI11_library	2012-08-11	1532	1039	Zea mays	SRR447892	SRS302446	KI11	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839384	SRX131230	KI11_library	2012-08-11	1155	676	Zea mays	SRR447893	SRS302446	KI11	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839401	SRX131231	TIL03_library	2012-08-11	3155	2238	Zea mays subsp. parviglumis	SRR447894	SRS302463	TIL03	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839401	SRX131232	TIL03_library	2012-08-11	3251	2241	Zea mays subsp. parviglumis	SRR447895	SRS302463	TIL03	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839416	SRX131233	TIL17_library	2012-08-11	2805	1689	Zea mays subsp. parviglumis	SRR447896	SRS302478	TIL17	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839416	SRX131234	TIL17_library	2012-08-11	1336	790	Zea mays subsp. parviglumis	SRR447897	SRS302478	TIL17	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839416	SRX131235	TIL17_library	2012-08-11	1755	1187	Zea mays subsp. parviglumis	SRR447898	SRS302478	TIL17	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839372	SRX131236	CML504_library	2012-08-11	6675	4384	Zea mays	SRR447899	SRS302434	CML504	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839330	SRX131237	BKN014_library	2012-08-11	5563	2758	Zea mays	SRR447900	SRS302392	BKN014	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839330	SRX131238	BKN014_library	2012-08-11	5428	2805	Zea mays	SRR447901	SRS302392	BKN014	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839346	SRX131239	BKN033_library	2012-08-11	5715	2910	Zea mays	SRR447902	SRS302408	BKN033	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839346	SRX131240	BKN033_library	2012-08-11	4771	2412	Zea mays	SRR447903	SRS302408	BKN033	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839426	SRX131241	W22_library	2012-08-11	4438	2212	Zea mays	SRR447904	SRS302488	W22	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839426	SRX131242	W22_library	2012-08-11	4443	2180	Zea mays	SRR447905	SRS302488	W22	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839419	SRX131243	TZI8_library	2012-08-11	1894	1052	Zea mays	SRR447906	SRS302481	TZI8	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839419	SRX131244	TZI8_library	2012-08-11	1483	1010	Zea mays	SRR447907	SRS302481	TZI8	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839419	SRX131245	TZI8_library	2012-08-11	908	511	Zea mays	SRR447908	SRS302481	TZI8	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839411	SRX131246	TIL11_library	2012-08-11	4151	1853	Zea mays subsp. parviglumis	SRR447909	SRS302473	TIL11	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131247	CAUCHANG72_library	2015-06-28	940	584	Zea mays	SRR447910	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131248	CAUCHANG72_library	2015-06-28	1430	1242	Zea mays	SRR447911	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131249	CAUCHANG72_library	2015-06-28	1430	1247	Zea mays	SRR447912	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131250	CAUCHANG72_library	2015-06-28	967	591	Zea mays	SRR447913	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131251	CAUCHANG72_library	2015-06-28	1430	1291	Zea mays	SRR447914	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131252	CAUCHANG72_library	2015-06-28	1430	1309	Zea mays	SRR447915	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131253	CAUCHANG72_library	2012-08-11	551	411	Zea mays	SRR447916	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131254	CAUCHANG72_library	2015-06-28	366	313	Zea mays	SRR447917	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131255	CAUCHANG72_library	2015-06-28	1430	1301	Zea mays	SRR447918	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131256	CAUCHANG72_library	2015-06-28	1430	1240	Zea mays	SRR447919	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839353	SRX131257	CAUCHANG72_library	2015-06-28	1430	1167	Zea mays	SRR447920	SRS302415	CAUCHANG72	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839377	SRX131258	CML84_library	2012-08-11	6675	4310	Zea mays	SRR447921	SRS302439	CML84	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839388	SRX131259	M37W_library	2012-08-11	2735	1241	Zea mays	SRR447922	SRS302450	M37W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839388	SRX131260	M37W_library	2012-08-11	827	562	Zea mays	SRR447923	SRS302450	M37W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839388	SRX131261	M37W_library	2012-08-11	2408	1653	Zea mays	SRR447924	SRS302450	M37W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839371	SRX131262	CML479_library	2012-08-11	6675	4185	Zea mays	SRR447925	SRS302433	CML479	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839397	SRX131263	P39_library	2012-08-11	1359	974	Zea mays	SRR447926	SRS302459	P39	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839397	SRX131264	P39_library	2012-08-11	2003	1336	Zea mays	SRR447927	SRS302459	P39	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839397	SRX131265	P39_library	2012-08-11	2585	1839	Zea mays	SRR447928	SRS302459	P39	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839397	SRX131266	P39_library	2012-08-11	2898	1904	Zea mays	SRR447929	SRS302459	P39	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839347	SRX131267	BKN034_library	2012-08-11	4598	2292	Zea mays	SRR447930	SRS302409	BKN034	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839347	SRX131268	BKN034_library	2012-08-11	5585	2749	Zea mays	SRR447931	SRS302409	BKN034	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839369	SRX131269	CML411_library	2012-08-11	6675	4425	Zea mays	SRR447932	SRS302431	CML411	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839408	SRX131270	TIL08_library	2012-08-11	4944	2332	Zea mays subsp. mexicana	SRR447933	SRS302470	TIL08	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839408	SRX131271	TIL08_library	2012-08-11	4008	1993	Zea mays subsp. mexicana	SRR447934	SRS302470	TIL08	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839373	SRX131272	CML505_library	2012-08-11	6675	3855	Zea mays	SRR447935	SRS302435	CML505	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839417	SRX131273	TIL25_library	2012-08-11	5556	2871	Zea mays subsp. mexicana	SRR447936	SRS302479	TIL25	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839417	SRX131274	TIL25_library	2012-08-11	5824	2983	Zea mays subsp. mexicana	SRR447937	SRS302479	TIL25	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839417	SRX131275	TIL25_library	2012-08-11	3654	2061	Zea mays subsp. mexicana	SRR447938	SRS302479	TIL25	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839417	SRX131276	TIL25_library	2012-08-11	2849	1817	Zea mays subsp. mexicana	SRR447939	SRS302479	TIL25	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839328	SRX131277	BKN010_library	2012-08-11	5502	2747	Zea mays	SRR447940	SRS302390	BKN010	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839328	SRX131278	BKN010_library	2012-08-11	5171	2670	Zea mays	SRR447941	SRS302390	BKN010	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839327	SRX131279	BKN009_library	2012-08-11	5535	2908	Zea mays	SRR447942	SRS302389	BKN009	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
